Kab/Kota,Jumlah_TBC,Luas_Wil,Juml_Pend,Imun_DPTHB,IDL,Kes_SD,Kes_SMP,Kes_SMA,Penjaringan_Kes,Imun_TD,BBLR,Asi_Eks,Balita_Kurang_Gizi,Air_Minum,Rumah_Sehat,TFU_Standar,TPP_Standar,Biomedik,Farmasi,Puskesmas,Posyandu,Dokter
KAB. PACITAN,368,"1,426.8","557,765","6,179","6,064",528,124,69,24,"2,609",344,"1,248",840,154,"127,399",570,829,202,140,24,718,129
KAB. PONOROGO,"1,339","1,371.8","878,068","10,283","9,946",708,181,135,26,"9,693",468,561,"2,066",211,196699.4,832,809,333,328,31,"1,049",343
KAB. TRENGGALEK,671,"1,261.4","700,716","8,124","8,668",558,109,72,22,"9,053",319,"3,554","1,329",40,161777.75,640,366,231,170,22,843,164
KAB. TULUNGAGUNG,"1,531","1,150.4","1,051,302","13,630","14,492",767,102,71,32,"14,489",330,"3,200","2,984",154,246135.5,849,649,446,366,32,"1,184",435
KAB. BLITAR,929,"1,589.0","1,170,647","15,611","14,715",865,165,80,24,"13,959",563,"3,214","3,522",348,215518,922,820,288,307,24,"1,396",341
KAB. KEDIRI,"2,219","1,539.0","1,592,699","22,771","22,444",956,228,125,37,"21,105",792,"1,923","4,826",386,181188.8,1030,1111,421,462,37,"1,672",513
KAB. MALANG,"2,903","3,156.0","2,650,825","37,932","36,668","1,491",513,268,39,"38,466","1,317","6,323","6,118",233,288684.4,1438,1040,672,586,39,"2,175",1068
KAB. LUMAJANG,"2,197","1,791.0","1,049,583","12,506","12,963",703,167,90,22,"15,420",732,"4,596","3,280",82,135524.9,835,516,282,277,25,"1,001",283
KAB. JEMBER,"5,244","3,293.0","2,480,477","34,996","29,482","1,462",567,360,50,"36,893","1,724","8,159","5,324",583,298512.5,1928,875,536,567,50,"2,758",656
KAB. BANYUWANGI,"2,939","5,782.5","1,626,064","21,188","21,208",951,281,178,38,"21,869",620,"5,572","2,466",910,158758,1351,797,354,384,45,"2,120",491
KAB. BONDOWOSO,"1,446","1,518.8","785,692","10,646","9,882",588,228,169,25,"8,902",813,"6,264","2,281",334,167067.2,753,401,156,143,25,765,155
KAB. SITUBONDO,"1,539","1,638.6","692,143","6,681","7,113",521,182,121,20,"10,165",602,"5,094","2,280",344,53317.2,540,552,142,100,20,762,156
KAB. PROBOLINGGO,"2,143","1,696.2","1,188,469","16,521","16,098",967,348,217,33,"17,332","1,061","4,659","5,113",100,176926.6,1074,315,165,147,33,"1,085",210
KAB. PASURUAN,"3,384","1,474.5","1,660,602","22,248","23,273","1,030",326,194,33,"20,679",833,"1,190","7,253",60,228827.6,1187,844,282,344,33,"1,686",430
KAB. SIDOARJO,"5,141",714.2,"2,355,415","35,594","35,795",840,260,198,27,534,370,"16,501","5,585",45,537823.8,960,1626,894,996,27,"1,587",1480
KAB. MOJOKERTO,"1,772",692.4,"1,145,650","16,593","17,154",615,205,148,27,92,462,"4,235","2,031",79,310449.8,843,931,369,198,27,"1,248",502
KAB. JOMBANG,"2,244","1,159.5","1,278,825","17,553","17,636",824,269,205,34,479,943,"5,472","4,929",62,245952.25,1001,662,428,269,34,"1,561",455
KAB. NGANJUK,"1,321","1,224.5","1,062,357","15,133","13,612",729,158,120,20,523,578,"4,059","3,067",192,84514.4,786,1099,243,301,20,"1,215",292
KAB. MADIUN,995,"1,010.9","686,525","8,160","9,053",478,87,56,25,216,391,"2,739","2,316",211,182956.25,538,332,245,236,26,776,190
KAB. MAGETAN,881,688.8,"637,108","7,555","7,459",496,94,67,22,114,308,"1,886","1,568",426,116951.8,613,399,224,184,22,860,188
KAB. NGAWI,"1,228","1,315.6","841,595","10,181","10,375",635,124,85,24,328,405,"1,083","2,510",84,192997.4,798,735,280,149,24,"1,106",296
KAB. BOJONEGORO,"2,468","2,307.3","1,257,262","16,593","16,220","1,008",238,173,35,"1,370",759,"5,210","3,134",1403,226893.8,1088,789,343,316,35,"1,520",366
KAB. TUBAN,"2,251","1,839.6","1,186,077","15,331","15,746",802,186,113,30,"2,688",692,"5,742","4,662",923,210974.2,796,313,236,232,33,"1,206",291
KAB. LAMONGAN,"3,048","1,813.0","1,206,257","15,996","15,659","1,075",316,202,32,518,641,"5,066","3,864",755,318253.25,1372,2784,344,297,32,"1,515",579
KAB. GRESIK,"3,039","1,193.8","1,356,453","20,523","20,486",836,269,197,32,"3,608",512,"1,639","3,328",195,304874.75,744,387,522,449,32,"1,498",834
KAB. BANGKALAN,"1,822","1,260.3","1,010,737","9,756","9,671",792,270,155,22,"3,314",602,773,"1,334",47,68252.25,959,3,177,94,22,535,198
KAB. SAMPANG,"1,513","1,233.4","1,011,438","12,964","12,757",894,331,165,21,"7,268",640,"1,211","1,837",3192,81108,966,457,164,59,22,853,142
KAB. PAMEKASAN,"1,497",792.4,"906,496","11,398","11,349",712,295,106,21,"1,830",399,"1,426","2,652",1216,105423.8,835,189,306,172,21,609,232
KAB. SUMENEP,"2,171","1,998.5","1,099,979","14,200","13,813",998,415,244,30,"6,056",731,775,"1,612",113,205612,1008,1167,208,100,30,717,157
KOTA KEDIRI,"1,519",67.2,"292,927","4,314","4,309",165,45,50,9,96,173,212,941,83,70334.2,207,265,423,395,9,257,446
KOTA BLITAR,365,32.6,"144,727","1,798","1,921",75,26,30,3,97,108,432,357,47,42367.4,104,284,212,178,3,163,234
KOTA MALANG,"2,437",110.1,"884,360","10,212","10,465",307,122,83,16,92,388,"4,592","2,148",1154,76231,535,785,974,788,16,536,2197
KOTA PROBOLINGGO,761,56.7,"243,356","3,135","3,651",117,47,46,6,"1,201",203,140,795,132,60317.25,168,48,132,131,6,166,191
KOTA PASURUAN,850,35.3,"204,520","2,755","3,353",94,40,30,8,296,197,652,"1,400",221,28276.25,141,90,136,100,8,285,167
KOTA MOJOKERTO,883,20.2,"132,045","2,049","2,052",74,24,27,6,101,69,185,209,1,26618,106,208,242,199,6,170,330
KOTA MADIUN,962,33.2,"178,333","2,338","2,348",96,36,52,6,99,147,817,533,1,51797,112,290,387,349,6,265,346
KOTA SURABAYA,"10,382",326.8,"2,928,058","41,109","41,680",839,409,271,63,"4,327",738,"10,687","2,357",154,132417.4,1278,3982,3385,"2,754",63,"2,022",6619
KOTA BATU,397,199.2,"212,889","2,774","3,118",95,33,27,4,134,97,688,474,109,52059,132,84,139,149,5,189,254
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
